year,day,hour_min,temp_act1,temp1_q,pave_cond,pave_cond_q,wind_spd_act,wind_dir_act
2017,26,200,0.726,500.0,24.0,500.0,1.694,61.53
2017,26,300,0.539,500.0,24.0,500.0,4.022,27.96
2017,26,400,0.687,500.0,24.0,500.0,4.163,11.01
2017,26,500,0.814,500.0,24.0,500.0,7.197,65.68
2017,26,600,0.603,500.0,24.0,500.0,1.129,61.07
2017,26,700,0.396,500.0,24.0,500.0,2.399,147.5
2017,26,800,-0.007,500.0,24.0,500.0,0.917,51.89
2017,26,900,0.363,500.0,24.0,500.0,1.411,10.69
2017,26,1000,2.242,500.0,24.0,500.0,2.611,49.89
2017,26,1100,3.81,500.0,33.0,500.0,5.857,102.6
2017,26,1200,3.805,500.0,33.0,500.0,3.246,98.2
2017,26,1300,4.404,500.0,33.0,500.0,2.823,93.1
2017,26,1400,4.313,500.0,33.0,500.0,1.129,234.4
2017,26,1500,4.22,500.0,33.0,500.0,2.117,188.1
2017,26,1600,2.827,500.0,33.0,500.0,0.988,0.24
2017,26,1700,0.598,500.0,33.0,500.0,2.893,350.7
2017,26,1800,-0.985,500.0,24.0,500.0,0.0,337.5
2017,26,1900,-1.676,500.0,24.0,500.0,2.54,57.2
2017,26,2000,-1.177,500.0,24.0,500.0,0.0,327.1
2017,26,2100,-1.758,500.0,24.0,500.0,0.565,349.2
2017,26,2200,-2.24,500.0,24.0,500.0,3.034,97.5
2017,26,2300,-2.616,500.0,24.0,500.0,2.681,13.77
2017,27,0,-2.619,500.0,24.0,500.0,0.635,102.8
2017,27,100,-1.901,500.0,24.0,500.0,0.0,32.86
2017,27,200,-1.52,500.0,24.0,500.0,0.847,331.9
2017,27,300,-1.902,500.0,24.0,500.0,5.363,107.4
2017,27,400,-1.646,500.0,24.0,500.0,1.129,24.32
2017,27,500,-1.467,500.0,24.0,500.0,0.847,0.935
2017,27,600,-1.18,500.0,24.0,500.0,2.046,19.84
2017,27,700,-1.082,500.0,24.0,500.0,0.917,71.7
2017,27,800,-1.044,500.0,24.0,500.0,0.988,6.668
2017,27,900,-0.507,500.0,24.0,500.0,1.623,95.2
2017,27,1000,0.613,500.0,24.0,500.0,0.0,88.6
2017,27,1100,3.167,500.0,33.0,500.0,2.117,145.0
2017,27,1200,4.179,500.0,33.0,500.0,3.387,181.3
2017,27,1300,4.324,500.0,23.0,500.0,2.187,153.4
2017,27,1400,5.179,500.0,23.0,500.0,2.187,207.6
2017,27,1500,3.341,500.0,33.0,500.0,0.0,337.8
2017,27,1600,2.12,500.0,23.0,500.0,0.917,327.1
2017,27,1700,1.232,500.0,23.0,500.0,1.411,329.4
2017,27,1800,0.979,500.0,24.0,500.0,1.764,318.0
2017,27,1900,0.747,500.0,24.0,500.0,3.81,72.02
2017,27,2000,0.099,500.0,24.0,500.0,0.0,218.2
2017,27,2100,-0.825,500.0,24.0,500.0,0.0,65.99
2017,27,2200,-1.418,500.0,24.0,500.0,0.141,278.4
2017,27,2300,-1.732,500.0,24.0,500.0,3.387,20.65
2017,28,0,-1.762,500.0,24.0,500.0,0.0,302.1
2017,28,100,-2.179,500.0,24.0,500.0,1.411,62.65
2017,28,200,-2.289,500.0,24.0,500.0,2.046,9.86
2017,28,300,-2.671,500.0,24.0,500.0,1.059,37.57
2017,28,400,-2.761,500.0,24.0,500.0,1.411,342.8
2017,28,500,-2.754,500.0,24.0,500.0,4.728,16.46
2017,28,600,-2.959,500.0,24.0,500.0,0.0,32.48
2017,28,700,-3.053,500.0,24.0,500.0,0.0,101.4
2017,28,800,-3.109,500.0,24.0,500.0,2.752,348.2
2017,28,900,-2.281,500.0,24.0,500.0,0.847,319.2
2017,28,1000,-1.029,500.0,34.0,500.0,0.988,184.3
2017,28,1100,1.159,500.0,34.0,500.0,0.353,286.0
2017,28,1200,2.494,500.0,24.0,500.0,0.141,290.9
2017,28,1300,5.143,500.0,33.0,500.0,0.0,248.6
2017,28,1400,4.082,500.0,33.0,500.0,2.187,323.9
2017,28,1500,4.275,500.0,23.0,500.0,1.2,318.0
2017,28,1600,2.955,500.0,33.0,500.0,0.988,351.8
2017,28,1700,1.292,500.0,34.0,500.0,2.258,17.02
2017,28,1800,0.178,500.0,24.0,500.0,0.0,8.73
2017,28,1900,0.065,500.0,24.0,500.0,0.0,15.78
2017,28,2000,0.294,500.0,24.0,500.0,0.0,259.0
2017,28,2100,0.057,500.0,24.0,500.0,0.0,3.884
2017,28,2200,-0.171,500.0,24.0,500.0,0.0,328.7
2017,28,2300,-0.133,500.0,24.0,500.0,2.823,66.14
2017,29,0,-0.189,500.0,24.0,500.0,0.988,0.192
2017,29,100,-0.197,500.0,24.0,500.0,2.399,254.0
2017,29,200,-0.372,500.0,24.0,500.0,1.482,13.29
2017,29,300,-0.416,500.0,24.0,500.0,0.0,28.11
2017,29,400,-0.089,500.0,24.0,500.0,1.411,332.9
2017,29,500,-0.232,500.0,24.0,500.0,0.0,7.338
2017,29,600,-0.5,500.0,24.0,500.0,0.0,120.1
2017,29,700,-0.172,500.0,24.0,500.0,5.433,83.0
2017,29,800,-0.132,500.0,24.0,500.0,0.565,49.83
2017,29,900,-0.055,500.0,24.0,500.0,4.093,211.7
2017,29,1000,1.33,500.0,24.0,500.0,2.47,261.3
2017,29,1100,2.456,500.0,23.0,500.0,2.823,142.9
2017,29,1200,1.829,500.0,23.0,500.0,4.445,197.7
2017,29,1300,1.911,500.0,23.0,500.0,2.611,111.3
2017,29,1400,2.251,500.0,23.0,500.0,7.197,58.32
2017,29,1500,2.3,500.0,23.0,500.0,2.258,347.1
2017,29,1600,2.339,500.0,23.0,500.0,1.835,171.5
2017,29,1700,2.339,500.0,23.0,500.0,6.209,221.0
2017,29,1800,3.032,500.0,23.0,500.0,6.986,192.2
2017,29,1900,3.397,500.0,23.0,500.0,3.528,173.3
2017,29,2000,2.868,500.0,23.0,500.0,4.093,63.28
2017,29,2100,2.344,500.0,23.0,500.0,1.411,22.87
2017,29,2200,1.577,500.0,23.0,500.0,0.0,352.3
2017,29,2300,1.157,500.0,24.0,500.0,0.0,31.88
2017,30,0,0.644,500.0,24.0,500.0,2.681,337.2
2017,30,100,0.192,500.0,24.0,500.0,2.964,62.2
2017,30,200,-0.186,500.0,24.0,500.0,3.881,54.24
2017,30,300,0.161,500.0,24.0,500.0,3.387,352.3
2017,30,400,-0.187,500.0,24.0,500.0,3.316,67.19
2017,30,500,-0.464,500.0,24.0,500.0,2.329,348.8
2017,30,600,-0.897,500.0,24.0,500.0,2.893,48.78
2017,30,700,-1.73,500.0,24.0,500.0,5.857,352.6
2017,30,800,-1.786,500.0,24.0,500.0,2.823,352.4
2017,30,900,-1.825,500.0,24.0,500.0,7.691,19.07
2017,30,1000,-0.698,500.0,34.0,500.0,7.55,76.9
2017,30,1100,0.178,500.0,33.0,500.0,6.421,64.67
2017,30,1200,1.1,500.0,23.0,500.0,3.034,21.0
2017,30,1300,1.884,500.0,23.0,500.0,5.857,9.08
2017,30,1400,1.811,500.0,33.0,500.0,8.33,348.2
2017,30,1500,1.713,500.0,23.0,500.0,2.329,33.05
2017,30,1600,1.335,500.0,23.0,500.0,0.988,334.0
2017,30,1700,0.435,500.0,23.0,500.0,3.175,313.7
2017,30,1800,-0.093,500.0,24.0,500.0,2.964,30.74
2017,30,1900,-1.151,500.0,34.0,500.0,4.728,43.19
2017,30,2000,-2.281,500.0,34.0,500.0,7.55,25.38
2017,30,2100,-2.605,500.0,38.0,500.0,4.939,53.49
2017,30,2200,-2.92,500.0,38.0,500.0,16.72,30.28
2017,30,2300,-3.707,500.0,38.0,500.0,5.927,337.0
2017,31,0,-4.351,500.0,38.0,500.0,6.351,36.76
2017,31,100,-4.811,500.0,38.0,500.0,7.197,96.1
2017,31,200,-4.764,500.0,38.0,500.0,4.657,27.7
2017,31,300,-5.435,500.0,38.0,500.0,3.387,2.64
2017,31,400,-5.533,500.0,38.0,500.0,5.574,348.5
2017,31,500,-5.646,500.0,38.0,500.0,5.433,15.89
2017,31,600,-5.916,500.0,38.0,500.0,9.1,347.4
2017,31,700,-5.891,500.0,38.0,500.0,5.433,10.8
2017,31,800,-6.09,500.0,38.0,500.0,10.09,22.32
2017,31,900,-5.586,500.0,28.0,500.0,5.786,35.02
2017,31,1000,-2.93,500.0,38.0,500.0,8.54,16.07
2017,31,1100,-0.645,500.0,38.0,500.0,4.445,49.92
2017,31,1200,0.64,500.0,33.0,500.0,3.387,36.41
2017,31,1300,1.454,500.0,33.0,500.0,6.421,347.3
2017,31,1400,1.155,500.0,33.0,500.0,5.504,8.48
2017,31,1500,0.521,500.0,33.0,500.0,6.774,11.93
2017,31,1600,-0.586,500.0,33.0,500.0,8.26,28.72
2017,31,1700,-2.196,500.0,38.0,500.0,6.703,35.37
